,J00129,Contig29982_RC,AB033032,Contig42854,Contig46860_RC,Contig26832,Contig29250_RC,Contig14690_RC,Contig16374_RC,Contig34885,labels
26,-0.7490000000000001,0.6990000000000001,-0.27399999999999997,-0.34600000000000003,-0.46799999999999997,-0.121,-1.133,0.264,-0.185,0.309,True
27,-0.523,0.134,0.107,0.024,-0.11900000000000001,0.18600000000000003,0.28600000000000003,0.24,0.376,-0.084,True
28,-0.48200000000000004,-0.12,-0.191,0.159,0.055999999999999994,-0.069,0.341,-0.133,0.054000000000000006,0.068,True
29,-0.758,-0.433,-0.23,-0.201,0.021,0.14300000000000002,0.08,-0.12,0.157,-0.057999999999999996,True
30,-0.961,-0.631,-0.193,0.037000000000000005,-0.17600000000000002,-0.067,0.165,-0.24,0.16399999999999998,0.015,True
31,-0.629,-0.537,-0.36,-0.226,-0.024,0.018000000000000002,-0.062,-0.10400000000000001,0.17800000000000002,-0.10099999999999999,True
32,0.894,-0.233,-0.374,-0.45399999999999996,0.187,0.107,0.242,0.257,0.301,0.064,True
33,-0.584,-0.529,-0.102,-0.295,-0.10300000000000001,0.19399999999999998,-0.092,0.11,0.36200000000000004,0.006,True
34,-1.0,0.035,-0.36,-0.018000000000000002,-0.045,0.11199999999999999,0.017,0.11900000000000001,0.337,0.046,True
35,-0.46799999999999997,-0.47200000000000003,0.07200000000000001,0.68,0.442,0.139,0.255,-0.01,0.392,0.289,True
36,-0.795,-0.387,-0.059000000000000004,0.19899999999999998,-0.094,-0.018000000000000002,0.10099999999999999,0.585,0.22699999999999998,0.001,True
37,-0.7929999999999999,-0.66,0.001,-0.247,0.124,-0.11,0.075,-0.256,0.08,0.139,True
38,0.046,0.042,0.091,1.139,-0.075,-0.009000000000000001,-0.085,-0.09699999999999999,-0.086,0.252,True
39,-0.46799999999999997,-0.39,-0.057999999999999996,-0.13,0.012,0.102,0.193,0.276,0.034,0.11599999999999999,True
40,-0.63,-0.23800000000000002,-0.43200000000000005,0.003,-0.028999999999999998,0.129,-0.33799999999999997,-1.168,0.276,0.081,True
41,-0.23399999999999999,-0.40399999999999997,0.037000000000000005,-0.214,0.053,0.06,-0.002,0.023,-0.046,0.053,True
42,-0.426,-0.406,0.11699999999999999,-0.355,-0.07,0.044000000000000004,-0.249,0.446,0.264,0.193,True
43,-0.5660000000000001,-0.596,-0.23,-0.35200000000000004,0.024,0.152,0.201,0.078,0.276,-0.073,False
44,-0.518,-0.502,-0.092,0.138,-0.038,0.159,0.107,0.052000000000000005,0.295,0.013999999999999999,False
45,-0.575,-0.585,0.113,-0.35,0.077,0.251,0.004,0.099,0.276,0.08,False
46,-0.499,-0.402,0.03,0.18100000000000002,-0.049,0.07,-0.004,-0.013999999999999999,0.038,0.114,False
47,-0.465,-0.5329999999999999,-0.057,-0.019,0.109,-0.002,-0.006,0.066,-0.01,-0.015,False
48,-0.557,-0.595,-0.10400000000000001,0.031,0.032,0.092,-0.157,1.5530000000000002,-0.10800000000000001,0.129,False
49,-0.873,-0.474,-0.218,0.11599999999999999,0.023,-0.04,-0.127,-0.062,-0.045,0.024,False
50,-0.18899999999999997,-0.309,0.095,-0.152,0.055999999999999994,0.083,-0.032,-0.011000000000000001,-0.04,0.105,False
51,-0.672,-1.101,-0.023,-0.13699999999999998,0.066,0.07,0.235,-0.14800000000000002,0.13,0.122,False
52,-0.7390000000000001,0.09300000000000001,0.20800000000000002,-0.214,0.059000000000000004,-0.159,0.184,-0.57,0.025,-0.05,False
53,-0.9420000000000001,-0.16,-0.184,-0.419,0.12300000000000001,0.114,0.233,-0.263,0.182,-0.07,False
54,-0.588,-0.345,0.121,0.16699999999999998,0.192,0.051,0.02,0.06,0.091,0.10400000000000001,False
55,-0.688,-0.659,0.21899999999999997,-0.09,0.055,0.028999999999999998,0.084,-0.08900000000000001,0.077,-0.053,False
56,-0.573,-0.6,0.24100000000000002,0.213,0.079,0.012,0.231,-0.11800000000000001,-0.054000000000000006,0.003,False
57,-1.319,-0.8490000000000001,-0.22399999999999998,-0.105,-0.07400000000000001,-0.054000000000000006,0.022000000000000002,-0.248,0.042,-0.062,False
58,-0.919,-0.7040000000000001,-0.14800000000000002,-0.203,0.222,0.052000000000000005,0.107,-0.094,0.055,0.064,False
59,-0.5529999999999999,-0.451,-0.081,0.272,-0.003,0.20600000000000002,0.018000000000000002,0.022000000000000002,0.11800000000000001,0.113,False
60,0.7859999999999999,-0.16399999999999998,0.35,-0.14400000000000002,-0.046,-0.09300000000000001,-0.09,0.161,-0.11,0.07,False
61,-0.731,-0.39,0.34700000000000003,-0.344,-0.07200000000000001,0.16899999999999998,0.159,0.19399999999999998,-0.015,-0.128,False
62,-0.262,-0.418,-0.11800000000000001,-0.171,-0.027999999999999997,0.139,-0.031,-0.207,0.138,0.142,False
63,-0.455,-0.28800000000000003,-0.065,-0.24100000000000002,-0.255,0.037000000000000005,0.022000000000000002,0.33,0.136,0.147,False
64,-0.509,0.45899999999999996,0.002,-0.257,-0.011000000000000001,-0.062,0.002,-0.032,0.048,0.067,False
65,-0.853,-0.589,0.127,-0.055,0.061,0.063,0.059000000000000004,0.14300000000000002,0.065,0.08800000000000001,False
66,-0.35200000000000004,0.08800000000000001,0.038,-0.115,0.22,0.125,0.11900000000000001,0.098,0.045,0.111,False
67,-0.601,-0.177,0.136,-0.2,0.077,0.149,0.312,0.258,0.457,-0.008,False
68,-0.511,-0.207,-0.433,0.175,0.053,-0.047,-0.20199999999999999,-0.244,-0.184,0.024,False
69,-0.446,1.3119999999999998,-0.218,-0.153,-0.059000000000000004,-0.061,-0.08199999999999999,0.006,0.079,0.106,False
70,-0.569,-0.146,0.172,-0.265,0.163,0.187,0.248,0.386,0.10400000000000001,0.008,False
71,1.206,-0.353,0.611,-0.039,-0.188,-0.042,0.068,-0.136,0.044000000000000004,-0.057999999999999996,False
72,-0.7340000000000001,-0.493,-0.040999999999999995,0.08800000000000001,0.073,-0.071,0.205,0.507,-0.001,0.015,False
73,0.128,-0.883,0.392,0.177,0.054000000000000006,0.027000000000000003,0.24600000000000002,-0.114,0.07200000000000001,0.069,False
74,-0.56,-0.45399999999999996,-0.048,-0.145,-0.107,0.034,-0.08,0.18899999999999997,0.102,0.065,False
